County,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31,Day32,Day33
Alachua,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,3,2,5,13,5,2,9,1,10,9,4,5,11,6,4,12,7,6
Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,2,0,0,1,1,0,2,0,0,1
Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,1,2,5,3,6,0
Bradford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,2
Brevard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,4,1,3,10,3,1,5,4,10,3,14,11
Broward,0,0,0,0,0,2,0,1,1,0,3,5,13,16,6,8,27,14,31,39,68,43,41,128,89,101,146,193,160,84,124,162,112,179
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
Charlotte,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,8,1,4,3,7,7,4,4
Citrus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,3,1,0,0,0,2,3,1,2,1,1,4,5,5,6
Clay,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,2,0,5,4,5,2,1,10,1,11,9,8,8,5
Collier,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,1,5,5,9,1,6,5,7,17,15,12,5,17,22,15,12,24,21,21
Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,5,3
Dade,0,0,1,0,0,0,0,0,0,0,1,2,10,8,7,26,24,21,23,50,85,38,89,149,169,199,272,351,247,423,250,501,533,470
Desoto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0,1,3,0
Dixie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Duval,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,3,1,4,15,7,10,1,8,21,26,16,20,26,48,52,30,58,50
Escambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,5,4,4,6,1,8,50,6,2,9,12,8
Flagler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,5,3,1,0,2,2,5,4,1,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Gadsden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Glades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
Gulf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hardee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Hendry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,1
Hernando,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,0,1,4,1,6,1,3,6,5,4,1
Highlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,5,0,2,3,3,3,4,4,5
Hillsborough,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,6,2,5,14,17,15,18,16,33,21,26,27,19,50,31,66,38,65,29
Holmes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Indian River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,0,2,2,1,3,5,8,5,6,5,3
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lake,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,3,3,5,4,4,6,7,8,8,11,11,8,6,10
Lee,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,2,2,2,1,4,10,3,11,14,21,21,26,29,24,35,28,39,27,57
Leon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,2,1,4,3,0,1,6,4,6,0,7,3
Levy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3
Manatee,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,1,1,1,3,1,3,5,2,1,5,3,7,2,14,19,17,27,15
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,3,6,4,4,1,5,4,2,5,6
Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,7,8,3,2,1,1,4,3,9,15
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,5,3,5,2,2,2,1,6,5,2,3
Nassau,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,2,2,3,4,2,1
Okaloosa,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,3,2,0,1,4,4,4,4,3,4,1,7,6,7,1
Okeechobee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Orange,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,5,5,5,7,9,11,24,28,43,49,31,51,55,33,119,81,54,63
Osceola,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,3,2,4,0,8,2,2,9,5,10,13,18,11,15,6,35,31,25,15
Palm Beach,0,0,1,0,0,0,0,0,0,0,0,2,3,0,4,3,10,6,16,14,28,7,15,40,30,75,75,71,83,84,62,146,114,98
Pasco,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,3,0,5,1,3,2,3,3,9,0,5,3,15,11,17,8
Pinellas,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,8,4,5,7,10,5,5,10,18,13,19,10,15,33,65,43,48,19
Polk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,1,0,3,1,3,7,8,5,9,21,6,17,20,26,7
Putnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,8,0,0,0,1,0,0,1,0,4,1
Santa Rosa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,2,3,3,6,9,10,5,2,1,2,1
Sarasota,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,7,5,3,2,7,3,13,2,10,11,9,20,16,8,10
Seminole,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,2,0,3,4,3,4,7,4,14,12,14,13,11,11,29,17,10,17
