,County,Day,Cases,Population,Rate,Log,TotalCount,TotalRate,TotalLog
0,NYC,0,1,8398748,83.98748,0,1,83.98748,0
1,NYC,1,2,8398748,167.97496,0.693147181,3,251.96244,0.693147181
2,NYC,2,10,8398748,839.8748,2.302585093,13,1091.83724,2.995732274
3,NYC,3,2,8398748,167.97496,0.693147181,15,1259.8122,3.688879454
4,NYC,4,8,8398748,671.89984,2.079441542,23,1931.71204,5.768320996
5,NYC,5,13,8398748,1091.83724,2.564949357,36,3023.54928,8.333270353
6,NYC,6,20,8398748,1679.7496,2.995732274,56,4703.29888,11.32900263
7,NYC,7,53,8398748,4451.33644,3.970291914,109,9154.63532,15.29929454
8,NYC,8,71,8398748,5963.11108,4.262679877,180,15117.7464,19.56197442
9,NYC,9,156,8398748,13102.04688,5.049856007,336,28219.79328,24.61183042
10,NYC,10,357,8398748,29983.53036,5.877735782,693,58203.32364,30.48956621
11,NYC,11,614,8398748,51568.31272,6.419994928,1307,109771.6364,36.90956113
12,NYC,12,629,8398748,52828.12492,6.444131257,1936,162599.7613,43.35369239
13,NYC,13,1008,8398748,84659.37984,6.915723449,2944,247259.1411,50.26941584
14,NYC,14,2033,8398748,170746.5468,7.617267814,4977,418005.688,57.88668365
15,NYC,15,2335,8398748,196110.7658,7.75576717,7312,614116.4538,65.64245082
16,NYC,16,2791,8398748,234409.0567,7.934155234,10103,848525.5104,73.57660606
17,NYC,17,3463,8398748,290848.6432,8.149890544,13566,1139374.154,81.7264966
18,NYC,18,3699,8398748,310669.6885,8.215817792,17265,1450043.842,89.94231439
19,NYC,19,2179,8398748,183008.7189,7.686621335,19444,1633052.561,97.62893573
20,NYC,20,2057,8398748,172762.2464,7.62900389,21501,1805814.807,105.2579396
21,NYC,21,3114,8398748,261537.0127,8.043663352,24615,2067351.82,113.301603
22,NYC,22,3525,8398748,296055.867,8.167635715,28140,2363407.687,121.4692387
23,NYC,23,3837,8398748,322259.9608,8.25244609,31977,2685667.648,129.7216848
24,NYC,24,3960,8398748,332590.4208,8.283999304,35937,3018258.069,138.0056841
25,NYC,25,4010,8398748,336789.7948,8.29654652,39947,3355047.864,146.3022306
26,NYC,26,2388,8398748,200562.1022,7.778211475,42335,3555609.966,154.0804421
27,NYC,27,2652,8398748,222734.797,7.883069351,44987,3778344.763,161.9635114
28,NYC,28,4356,8398748,365849.4629,8.379309484,49343,4144194.226,170.3428209
29,NYC,29,3710,8398748,311593.5508,8.218787156,53053,4455787.776,178.5616081
30,NYC,30,3571,8398748,299919.2911,8.180600948,56624,4755707.068,186.742209
31,NYC,31,3905,8398748,327971.1094,8.270013062,60529,5083678.177,195.0122221
32,NYC,32,3250,8398748,272959.31,8.086410275,63779,5356637.487,203.0986324
33,NYC,33,1091,8398748,91630.34068,6.994849986,64870,5448267.828,210.0934823
