,County,Day,Cases,Population,Rate,TotalCount,TotalRate
0,Alachua,0,0,263753,0.0,0,0.0
1,Alachua,1,0,263753,0.0,0,0.0
2,Alachua,2,0,263753,0.0,0,0.0
3,Alachua,3,0,263753,0.0,0,0.0
4,Alachua,4,0,263753,0.0,0,0.0
5,Alachua,5,0,263753,0.0,0,0.0
6,Alachua,6,0,263753,0.0,0,0.0
7,Alachua,7,0,263753,0.0,0,0.0
8,Alachua,8,1,263753,0.3791426069087366,1,0.3791426069087366
9,Alachua,9,0,263753,0.0,1,0.3791426069087366
10,Alachua,10,0,263753,0.0,1,0.3791426069087366
11,Alachua,11,1,263753,0.3791426069087366,2,0.7582852138174732
12,Alachua,12,1,263753,0.3791426069087366,3,1.1374278207262098
13,Alachua,13,0,263753,0.0,3,1.1374278207262098
14,Alachua,14,1,263753,0.3791426069087366,4,1.5165704276349463
15,Alachua,15,2,263753,0.7582852138174732,6,2.2748556414524197
16,Alachua,16,3,263753,1.1374278207262098,9,3.4122834621786295
17,Alachua,17,2,263753,0.7582852138174732,11,4.170568675996103
18,Alachua,18,5,263753,1.8957130345436828,16,6.066281710539785
19,Alachua,19,13,263753,4.928853889813576,29,10.995135600353361
20,Alachua,20,5,263753,1.8957130345436828,34,12.890848634897043
21,Alachua,21,2,263753,0.7582852138174732,36,13.649133848714516
22,Alachua,22,9,263753,3.412283462178629,45,17.061417310893145
23,Alachua,23,1,263753,0.3791426069087366,46,17.44055991780188
24,Alachua,24,10,263753,3.7914260690873656,56,21.231985986889246
25,Alachua,25,9,263753,3.412283462178629,65,24.644269449067874
26,Alachua,26,4,263753,1.5165704276349463,69,26.16083987670282
27,Alachua,27,5,263753,1.8957130345436828,74,28.056552911246502
28,Alachua,28,11,263753,4.170568675996102,85,32.22712158724261
29,Alachua,29,6,263753,2.2748556414524197,91,34.501977228695026
30,Alachua,30,4,263753,1.5165704276349463,95,36.01854765632997
31,Alachua,31,12,263753,4.549711282904839,107,40.56825893923481
32,Alachua,32,7,263753,2.653998248361156,114,43.222257187595964
33,Alachua,33,6,263753,2.2748556414524197,120,45.49711282904838
34,Alachua,34,8,263753,3.0331408552698926,128,48.530253684318275
35,Alachua,35,5,263753,1.8957130345436828,133,50.42596671886196
36,Alachua,36,6,263753,2.2748556414524197,139,52.700822360314376
37,Alachua,37,9,263753,3.412283462178629,148,56.113105822493004
38,Alachua,38,14,263753,5.307996496722312,162,61.421102319215315
39,Alachua,39,8,263753,3.0331408552698926,170,64.45424317448521
40,Alachua,40,7,263753,2.653998248361156,177,67.10824142284638
41,Alachua,41,1,263753,0.3791426069087366,178,67.48738402975512
42,Alachua,42,5,263753,1.8957130345436828,183,69.38309706429881
