,County,Day,Cases,Week,Date,Population,Rate,Change,Double,Increase,Total
71,Florida,0,2.0,1,3/2/20,2095705.0,0.09543327901589202,0.0,Yes,inf,0.0
143,Florida,1,2.0,1,3/3/20,2095705.0,0.09543327901589202,0.0,No,inf,0.19086655803178404
215,Florida,2,4.0,1,3/4/20,2095705.0,0.19086655803178404,2.0,Yes,200.0,0.28629983704767603
287,Florida,3,1.0,1,3/5/20,2095705.0,0.04771663950794601,-3.0,No,-33.33333333333333,0.23858319753973006
359,Florida,4,4.0,1,3/6/20,2095705.0,0.19086655803178404,3.0,Yes,133.33333333333331,0.23858319753973006
431,Florida,5,1.0,1,3/7/20,2095705.0,0.04771663950794601,-3.0,No,-33.33333333333333,0.23858319753973006
503,Florida,6,5.0,1,3/8/20,2095705.0,0.23858319753973006,4.0,Yes,125.0,0.2862998370476761
575,Florida,7,3.0,2,3/9/20,2095705.0,0.14314991852383804,-2.0,No,-150.0,0.3817331160635681
647,Florida,8,6.0,2,3/10/20,2095705.0,0.2862998370476761,3.0,Yes,200.0,0.4294497555715141
719,Florida,9,7.0,2,3/11/20,2095705.0,0.3340164765556221,1.0,Yes,700.0,0.6203163136032982
791,Florida,10,24.0,2,3/12/20,2095705.0,1.1451993481907043,17.0,Yes,141.1764705882353,1.4792158247463265
863,Florida,11,45.0,2,3/13/20,2095705.0,2.1472487778575706,21.0,Yes,214.28571428571428,3.292448126048275
935,Florida,12,33.0,2,3/14/20,2095705.0,1.5746491037622186,-12.0,No,-275.0,3.721897881619789
1007,Florida,13,32.0,2,3/15/20,2095705.0,1.5269324642542723,-1.0,No,-3200.0,3.101581568016491
1079,Florida,14,70.0,3,3/16/20,2095705.0,3.340164765556221,38.0,Yes,184.21052631578948,4.8670972298104935
1151,Florida,15,107.0,3,3/17/20,2095705.0,5.105680427350223,37.0,Yes,289.1891891891892,8.445845192906445
1223,Florida,16,88.0,3,3/18/20,2095705.0,4.199064276699249,-19.0,No,-463.15789473684214,9.304744704049472
1295,Florida,17,150.0,3,3/19/20,2095705.0,7.157495926191902,62.0,Yes,241.93548387096774,11.356560202891151
1367,Florida,18,218.0,3,3/20/20,2095705.0,10.40222741273223,68.0,Yes,320.5882352941177,17.559723338924133
1439,Florida,19,205.0,3,3/21/20,2095705.0,9.781911099128934,-13.0,No,-1576.923076923077,20.184138511861164
