,County,Day,Cases,Week,Date,Population,Rate,Log
0,Alachua,0,0,1,3/2/20,263753.0,0.0,0.0
69,Alachua,1,0,1,3/3/20,263753.0,0.0,0.0
138,Alachua,2,0,1,3/4/20,263753.0,0.0,0.0
207,Alachua,3,0,1,3/5/20,263753.0,0.0,0.0
276,Alachua,4,0,1,3/6/20,263753.0,0.0,0.0
345,Alachua,5,0,1,3/7/20,263753.0,0.0,0.0
414,Alachua,6,0,1,3/8/20,263753.0,0.0,0.0
483,Alachua,7,0,2,3/9/20,263753.0,0.0,0.0
552,Alachua,8,1,2,3/10/20,263753.0,0.3791426069087366,0.0
621,Alachua,9,0,2,3/11/20,263753.0,0.0,0.0
690,Alachua,10,0,2,3/12/20,263753.0,0.0,0.0
759,Alachua,11,1,2,3/13/20,263753.0,0.3791426069087366,0.0
828,Alachua,12,1,2,3/14/20,263753.0,0.3791426069087366,0.0
897,Alachua,13,0,2,3/15/20,263753.0,0.0,0.0
966,Alachua,14,1,3,3/16/20,263753.0,0.3791426069087366,0.0
1035,Alachua,15,2,3,3/17/20,263753.0,0.7582852138174732,0.6931471805599453
1104,Alachua,16,3,3,3/18/20,263753.0,1.1374278207262098,1.0986122886681098
1173,Alachua,17,2,3,3/19/20,263753.0,0.7582852138174732,0.6931471805599453
1242,Alachua,18,5,3,3/20/20,263753.0,1.8957130345436828,1.6094379124341003
1311,Alachua,19,13,3,3/21/20,263753.0,4.928853889813576,2.5649493574615367
1380,Alachua,20,5,3,3/22/20,263753.0,1.8957130345436828,1.6094379124341003
1449,Alachua,21,2,4,3/23/20,263753.0,0.7582852138174732,0.6931471805599453
1518,Alachua,22,1,4,3/24/20,263753.0,0.3791426069087366,0.0
1,Baker,0,0,1,3/2/20,27488.0,0.0,0.0
70,Baker,1,0,1,3/3/20,27488.0,0.0,0.0
139,Baker,2,0,1,3/4/20,27488.0,0.0,0.0
208,Baker,3,0,1,3/5/20,27488.0,0.0,0.0
277,Baker,4,0,1,3/6/20,27488.0,0.0,0.0
346,Baker,5,0,1,3/7/20,27488.0,0.0,0.0
415,Baker,6,0,1,3/8/20,27488.0,0.0,0.0
484,Baker,7,0,2,3/9/20,27488.0,0.0,0.0
553,Baker,8,0,2,3/10/20,27488.0,0.0,0.0
622,Baker,9,0,2,3/11/20,27488.0,0.0,0.0
691,Baker,10,0,2,3/12/20,27488.0,0.0,0.0
760,Baker,11,0,2,3/13/20,27488.0,0.0,0.0
829,Baker,12,0,2,3/14/20,27488.0,0.0,0.0
898,Baker,13,0,2,3/15/20,27488.0,0.0,0.0
967,Baker,14,0,3,3/16/20,27488.0,0.0,0.0
1036,Baker,15,0,3,3/17/20,27488.0,0.0,0.0
1105,Baker,16,0,3,3/18/20,27488.0,0.0,0.0
1174,Baker,17,0,3,3/19/20,27488.0,0.0,0.0
