County,Week1,Week2,Week3,Week4
Alachua,0,3,31,3
Baker,0,0,3,1
Bay,0,0,1,0
Bradford,0,0,1,0
Brevard,0,0,7,2
Broward,2,39,193,77
Calhoun,0,0,0,0
Charlotte,0,1,2,0
Citrus,0,1,8,0
Clay,0,3,5,2
Collier,0,6,28,7
Columbia,0,0,2,1
Dade,1,21,240,76
Desoto,0,0,1,0
Dixie,0,0,0,0
Duval,0,4,36,10
Escambia,0,0,5,5
Flagler,0,0,3,1
Florida,14,123,972,303
Franklin,0,0,0,0
Gadsden,1,0,0,0
Gilchrist,0,0,0,0
Glades,0,0,0,0
Gulf,0,0,0,0
Hamilton,0,0,0,0
Hardee,0,0,0,0
Hendry,0,0,0,0
Hernando,0,0,5,0
Highlands,0,0,2,2
Hillsborough,2,4,59,26
Holmes,0,0,0,0
Indian River,0,0,8,3
Jackson,0,0,1,0
Jefferson,0,0,0,0
Lafayette,0,0,0,0
Lake,0,1,7,6
Lee,2,4,22,4
Leon,1,0,5,2
Levy,0,0,0,0
Liberty,0,0,0,0
Madison,0,0,0,0
Manatee,1,3,10,2
Marion,0,0,3,1
Martin,0,0,2,2
Monroe,0,0,2,1
Nassau,0,1,0,0
Okaloosa,1,1,12,0
Okeechobee,0,0,0,0
Orange,0,4,34,12
Osceola,0,4,20,2
Palm Beach,1,5,80,15
Pasco,0,2,11,2
Pinellas,0,2,37,6
Polk,0,0,11,2
Putnam,0,0,2,0
Saint Johns,0,0,0,0
Saint Lucie,0,0,0,0
Santa Rosa,1,0,2,1
Sarasota,0,2,18,6
Seminole,0,4,15,4
St. Johns,0,2,20,6
Sumter,0,0,8,2
Suwannee,0,0,0,0
Taylor,0,0,0,0
Union,0,0,0,0
Volusia,1,6,7,4
Wakulla,0,0,0,0
Walton,0,0,3,7
Washington,0,0,0,0
