County,Population
Alachua,263753
Baker,27488
Bay,182218
Bradford,28083
Brevard,584050
Broward,1903210
Calhoun,15315
Charlotte,175413
Citrus,145164
Clay,213565
Collier,367471
Columbia,69566
Dade,2804160
Desoto,35940
Dixie,16767
Duval,954454
Escambia,317051
Flagler,108481
Florida,2095705
Franklin,12360
Gadsden,48173
Gilchrist,17578
Glades,13193
Gulf,16235
Hamilton,14706
Hardee,27436
Hendry,39682
Hernando,185421
Highlands,103317
Hillsborough,1419285
Holmes,20404
Indian River,152079
Jackson,50689
Jefferson,14725
Lafayette,8367
Lake,342356
Lee,721053
Leon,290223
Levy,41550
Liberty,8781
Madison,19420
Manatee,381071
Marion,355325
Martin,155705
Monroe,76534
Nassau,83125
Okaloosa,198409
Okeechobee,41492
Orange,1370447
Osceola,360426
Palm Beach,1442281
Pasco,518639
Pinellas,971022
Polk,681691
Putnam,73422
Saint Johns,241545
Saint Lucie,304743
Santa Rosa,175552
Sarasota,415896
Seminole,463627
Sumter,125779
Suwannee,45123
Taylor,22258
Union,15966
Volusia,532926
Wakulla,32350
Walton,67926
Washington,25243
