,County,Week,Cases,Rate,Change,Double
0,Alachua,1,0,0,0,No
1,Alachua,2,4,1.516570428,4,Yes
2,Alachua,3,31,11.75342081,27,Yes
3,Baker,1,0,0,0,No
4,Baker,2,0,0,0,No
5,Baker,3,2,7.275902212,2,Yes
6,Bay,1,0,0,0,No
7,Bay,2,0,0,0,No
8,Bay,3,1,0.548793204,1,Yes
9,Bradford,1,0,0,0,No
10,Bradford,2,0,0,0,No
11,Bradford,3,1,3.560873126,1,Yes
12,Brevard,1,0,0,0,No
13,Brevard,2,0,0,0,No
14,Brevard,3,7,1.198527523,7,Yes
15,Broward,1,3,0.157628428,0,No
16,Broward,2,44,2.311883607,41,Yes
17,Broward,3,170,8.932277573,126,Yes
18,Calhoun,1,0,0,0,No
19,Calhoun,2,0,0,0,No
20,Calhoun,3,0,0,0,No
22,Charlotte,2,0,0,-1,No
21,Charlotte,1,1,0.570083175,0,No
23,Charlotte,3,1,0.570083175,1,Yes
24,Citrus,1,0,0,0,No
25,Citrus,2,1,0.68887603,1,Yes
26,Citrus,3,7,4.822132209,6,Yes
27,Clay,1,0,0,0,No
28,Clay,2,3,1.404724557,3,Yes
29,Clay,3,4,1.872966076,1,Yes
30,Collier,1,0,0,0,No
31,Collier,2,7,1.904912224,7,Yes
32,Collier,3,26,7.075388262,19,Yes
33,Columbia,1,0,0,0,No
34,Columbia,2,0,0,0,No
35,Columbia,3,2,2.874967657,2,Yes
36,Dade,1,1,0,0,No
37,Dade,2,28,0,27,Yes
38,Dade,3,199,0,171,Yes
39,Desoto,1,0,0,0,No
40,Desoto,2,0,0,0,No
41,Desoto,3,1,2.782415136,1,Yes
42,Dixie,1,0,0,0,No
43,Dixie,2,0,0,0,No
44,Dixie,3,0,0,0,No
45,Duval,1,0,0,0,No
46,Duval,2,5,0.523859715,5,Yes
47,Duval,3,34,3.562246059,29,Yes
48,Escambia,1,0,0,0,No
49,Escambia,2,1,0.31540667,1,Yes
50,Escambia,3,3,0.946220009,2,Yes
51,Flagler,1,0,0,0,No
52,Flagler,2,0,0,0,No
53,Flagler,3,1,0.921820411,1,Yes
54,Florida,1,19,0.906616151,0,No
55,Florida,2,150,7.157495926,131,Yes
56,Florida,3,838,39.98654391,688,Yes
57,Franklin,1,0,0,0,No
58,Franklin,2,0,0,0,No
59,Franklin,3,0,0,0,No
61,Gadsden,2,0,0,-1,No
62,Gadsden,3,0,0,0,No
60,Gadsden,1,1,2.075851618,0,No
63,Gilchrist,1,0,0,0,No
64,Gilchrist,2,0,0,0,No
65,Gilchrist,3,0,0,0,No
