,County,Day,Cases,Week,Date,Population,Rate,Log,TotalCount,TotalRate,TotalLog,Double
68,Florida,0,2,1,3/2/20,2095705.0,0.09543327901589202,0.0,2,0.09543327901589202,0.0,
137,Florida,1,2,1,3/3/20,2095705.0,0.09543327901589202,0.6931471805599453,4,0.19086655803178404,0.6931471805599453,inf
206,Florida,2,4,1,3/4/20,2095705.0,0.19086655803178404,1.3862943611198906,8,0.3817331160635681,2.0794415416798357,0.6931471805599453
275,Florida,3,1,1,3/5/20,2095705.0,0.04771663950794601,0.0,9,0.4294497555715141,2.0794415416798357,-0.9241962407465937
344,Florida,4,0,1,3/6/20,2095705.0,0.0,0.0,9,0.4294497555715141,2.0794415416798357,-0.6931471805599453
413,Florida,5,4,1,3/7/20,2095705.0,0.19086655803178404,1.3862943611198906,13,0.6203163136032981,3.465735902799726,0.0
482,Florida,6,1,1,3/8/20,2095705.0,0.04771663950794601,0.0,14,0.6680329531112441,3.465735902799726,-0.9241962407465937
551,Florida,7,5,2,3/9/20,2095705.0,0.23858319753973006,1.6094379124341003,19,0.9066161506509742,5.075173815233827,0.17328679513998632
620,Florida,8,3,2,3/10/20,2095705.0,0.14314991852383804,1.0986122886681098,22,1.0497660691748123,6.173786103901937,-1.732867951399863
689,Florida,9,6,2,3/11/20,2095705.0,0.2862998370476761,1.791759469228055,28,1.3360659062224884,7.965545573129992,0.6931471805599453
758,Florida,10,7,2,3/12/20,2095705.0,0.3340164765556221,1.9459101490553132,35,1.6700823827781106,9.911455722185305,4.15888308335967
827,Florida,11,24,2,3/13/20,2095705.0,1.1451993481907043,3.1780538303479458,59,2.815281730968815,13.08950955253325,0.2854135449364481
896,Florida,12,45,2,3/14/20,2095705.0,2.1472487778575706,3.8066624897703196,104,4.962530508826386,16.89617204230357,0.7921682063542231
965,Florida,13,33,2,3/15/20,2095705.0,1.5746491037622186,3.4965075614664802,137,6.537179612588604,20.39267960377005,-2.5993019270997944
1034,Florida,14,32,3,3/16/20,2095705.0,1.5269324642542723,3.4657359027997265,169,8.064112076842877,23.858415506569774,-22.873856958478214
1103,Florida,15,70,3,3/17/20,2095705.0,3.340164765556221,4.248495242049359,239,11.404276842399097,28.106910748619132,0.5837028888925855
1172,Florida,16,107,3,3/18/20,2095705.0,5.105680427350223,4.672828834461906,346,16.50995726974932,32.77973958308104,1.311359530789086
1241,Florida,17,88,3,3/19/20,2095705.0,4.199064276699249,4.477336814478207,434,20.70902154644857,37.257076397559246,-3.9035130694691653
1310,Florida,18,150,3,3/20/20,2095705.0,7.157495926191902,5.0106352940962555,584,27.866517472640474,42.2677116916555,0.9838218046657288
1379,Florida,19,217,3,3/21/20,2095705.0,10.354510773224284,5.37989735354046,801,38.22102824586476,47.647609045195956,1.5518220460297278
1448,Florida,20,308,3,3/22/20,2095705.0,14.696724968447372,5.730099782973574,1109,52.91775321431213,53.37770882816953,1.652889430566023
1517,Florida,21,195,4,3/23/20,2095705.0,9.304744704049472,5.272999558563747,1304,62.2224979183616,58.65070838673328,-1.8892861204642755
1586,Florida,22,108,4,3/24/20,2095705.0,5.15339706685817,4.68213122712422,1412,67.37589498521977,63.3328396138575,-1.553605749530912
