,County,Day,Cases,Week,Date,Population,Rate,Log,TotalCount,TotalRate,TotalLog,Double
0,Alachua,0,0,1,3/2/20,263753.0,0.0,0.0,0,0.0,0.0,
69,Alachua,1,0,1,3/3/20,263753.0,0.0,0.0,0,0.0,0.0,
138,Alachua,2,0,1,3/4/20,263753.0,0.0,0.0,0,0.0,0.0,
207,Alachua,3,0,1,3/5/20,263753.0,0.0,0.0,0,0.0,0.0,
276,Alachua,4,0,1,3/6/20,263753.0,0.0,0.0,0,0.0,0.0,
345,Alachua,5,0,1,3/7/20,263753.0,0.0,0.0,0,0.0,0.0,
414,Alachua,6,0,1,3/8/20,263753.0,0.0,0.0,0,0.0,0.0,
483,Alachua,7,0,2,3/9/20,263753.0,0.0,0.0,0,0.0,0.0,
552,Alachua,8,1,2,3/10/20,263753.0,0.3791426069087366,0.0,1,0.3791426069087366,0.0,0.0
621,Alachua,9,0,2,3/11/20,263753.0,0.0,0.0,1,0.3791426069087366,0.0,-0.6931471805599453
690,Alachua,10,0,2,3/12/20,263753.0,0.0,0.0,1,0.3791426069087366,0.0,
759,Alachua,11,1,2,3/13/20,263753.0,0.3791426069087366,0.0,2,0.7582852138174732,0.0,0.0
828,Alachua,12,1,2,3/14/20,263753.0,0.3791426069087366,0.0,3,1.1374278207262098,0.0,inf
897,Alachua,13,0,2,3/15/20,263753.0,0.0,0.0,3,1.1374278207262098,0.0,-0.6931471805599453
966,Alachua,14,1,3,3/16/20,263753.0,0.3791426069087366,0.0,4,1.5165704276349463,0.0,0.0
1035,Alachua,15,2,3,3/17/20,263753.0,0.7582852138174732,0.6931471805599453,6,2.2748556414524197,0.6931471805599453,0.6931471805599453
1104,Alachua,16,3,3,3/18/20,263753.0,1.1374278207262098,1.0986122886681098,9,3.4122834621786295,1.791759469228055,1.3862943611198906
1173,Alachua,17,2,3,3/19/20,263753.0,0.7582852138174732,0.6931471805599453,11,4.170568675996103,2.4849066497880004,-2.0794415416798357
1242,Alachua,18,5,3,3/20/20,263753.0,1.8957130345436828,1.6094379124341003,16,6.066281710539785,4.0943445622221,0.46209812037329684
1311,Alachua,19,13,3,3/21/20,263753.0,4.928853889813576,2.5649493574615367,29,10.995135600353361,6.659293919683638,0.43321698784996576
1380,Alachua,20,5,3,3/22/20,263753.0,1.8957130345436828,1.6094379124341003,34,12.890848634897043,8.268731832117737,-1.126364168409911
1449,Alachua,21,2,4,3/23/20,263753.0,0.7582852138174732,0.6931471805599453,36,13.649133848714516,8.961879012677683,-1.1552453009332422
1518,Alachua,22,1,4,3/24/20,263753.0,0.3791426069087366,0.0,37,14.028276455623253,8.961879012677683,-1.3862943611198906
