,County,Day,Cases,Week,Date,Population,Rate,Change,Double,LogChange,DoubleTime
0,Alachua,0,0,1,3/2/20,263753.0,0.0,0.0,No,,
69,Alachua,1,0,1,3/3/20,263753.0,0.0,0.0,No,,inf
138,Alachua,2,0,1,3/4/20,263753.0,0.0,0.0,No,,inf
207,Alachua,3,0,1,3/5/20,263753.0,0.0,0.0,No,,inf
276,Alachua,4,0,1,3/6/20,263753.0,0.0,0.0,No,,inf
345,Alachua,5,0,1,3/7/20,263753.0,0.0,0.0,No,,inf
414,Alachua,6,0,1,3/8/20,263753.0,0.0,0.0,No,,inf
483,Alachua,7,0,2,3/9/20,263753.0,0.0,0.0,No,,inf
552,Alachua,8,1,2,3/10/20,263753.0,0.3791426069087366,1.0,Yes,inf,1.0
621,Alachua,9,0,2,3/11/20,263753.0,0.0,-1.0,No,-inf,-inf
690,Alachua,10,0,2,3/12/20,263753.0,0.0,0.0,No,,inf
759,Alachua,11,1,2,3/13/20,263753.0,0.3791426069087366,1.0,Yes,inf,1.0
828,Alachua,12,1,2,3/14/20,263753.0,0.3791426069087366,0.0,Yes,0.0,inf
897,Alachua,13,0,2,3/15/20,263753.0,0.0,-1.0,No,-inf,-inf
966,Alachua,14,1,3,3/16/20,263753.0,0.3791426069087366,1.0,Yes,inf,1.0
1035,Alachua,15,2,3,3/17/20,263753.0,0.7582852138174732,1.0,Yes,0.6931471805599454,0.5
1104,Alachua,16,3,3,3/18/20,263753.0,1.1374278207262098,1.0,Yes,0.4054651081081645,0.3333333333333333
1173,Alachua,17,2,3,3/19/20,263753.0,0.7582852138174732,-1.0,No,-0.4054651081081645,-0.5
1242,Alachua,18,5,3,3/20/20,263753.0,1.8957130345436828,3.0,Yes,0.9162907318741551,0.06666666666666667
1311,Alachua,19,13,3,3/21/20,263753.0,4.928853889813576,8.0,Yes,0.9555114450274365,0.009615384615384616
1380,Alachua,20,5,3,3/22/20,263753.0,1.8957130345436828,-8.0,No,-0.9555114450274365,-0.025
1449,Alachua,21,2,4,3/23/20,263753.0,0.7582852138174732,-3.0,No,-0.9162907318741551,-0.16666666666666666
1518,Alachua,22,1,4,3/24/20,263753.0,0.3791426069087366,-1.0,No,-0.6931471805599454,-1.0
1,Baker,0,0,1,3/2/20,27488.0,0.0,0.0,No,-inf,-inf
70,Baker,1,0,1,3/3/20,27488.0,0.0,0.0,No,,inf
139,Baker,2,0,1,3/4/20,27488.0,0.0,0.0,No,,inf
208,Baker,3,0,1,3/5/20,27488.0,0.0,0.0,No,,inf
277,Baker,4,0,1,3/6/20,27488.0,0.0,0.0,No,,inf
346,Baker,5,0,1,3/7/20,27488.0,0.0,0.0,No,,inf
415,Baker,6,0,1,3/8/20,27488.0,0.0,0.0,No,,inf
484,Baker,7,0,2,3/9/20,27488.0,0.0,0.0,No,,inf
553,Baker,8,0,2,3/10/20,27488.0,0.0,0.0,No,,inf
622,Baker,9,0,2,3/11/20,27488.0,0.0,0.0,No,,inf
691,Baker,10,0,2,3/12/20,27488.0,0.0,0.0,No,,inf
760,Baker,11,0,2,3/13/20,27488.0,0.0,0.0,No,,inf
829,Baker,12,0,2,3/14/20,27488.0,0.0,0.0,No,,inf
898,Baker,13,0,2,3/15/20,27488.0,0.0,0.0,No,,inf
967,Baker,14,0,3,3/16/20,27488.0,0.0,0.0,No,,inf
1036,Baker,15,0,3,3/17/20,27488.0,0.0,0.0,No,,inf
1105,Baker,16,0,3,3/18/20,27488.0,0.0,0.0,No,,inf
