,County,Day,Cases,Week,Date,Population,Rate,Change,Double
0,Alachua,0,0.0,1,3/2/20,263753.0,0.0,0.0,No
69,Alachua,1,0.0,1,3/3/20,263753.0,0.0,0.0,No
138,Alachua,2,0.0,1,3/4/20,263753.0,0.0,0.0,No
207,Alachua,3,0.0,1,3/5/20,263753.0,0.0,0.0,No
276,Alachua,4,0.0,1,3/6/20,263753.0,0.0,0.0,No
345,Alachua,5,0.0,1,3/7/20,263753.0,0.0,0.0,No
414,Alachua,6,0.0,1,3/8/20,263753.0,0.0,0.0,No
483,Alachua,7,0.0,2,3/9/20,263753.0,0.0,0.0,No
552,Alachua,8,1.0,2,3/10/20,263753.0,0.3791426069087366,1.0,Yes
621,Alachua,9,0.0,2,3/11/20,263753.0,0.0,-1.0,No
690,Alachua,10,0.0,2,3/12/20,263753.0,0.0,0.0,No
759,Alachua,11,1.0,2,3/13/20,263753.0,0.3791426069087366,1.0,Yes
828,Alachua,12,1.0,2,3/14/20,263753.0,0.3791426069087366,0.0,Yes
897,Alachua,13,0.0,2,3/15/20,263753.0,0.0,-1.0,No
966,Alachua,14,1.0,3,3/16/20,263753.0,0.3791426069087366,1.0,Yes
1035,Alachua,15,2.0,3,3/17/20,263753.0,0.7582852138174732,1.0,Yes
1104,Alachua,16,3.0,3,3/18/20,263753.0,1.1374278207262098,1.0,Yes
1173,Alachua,17,2.0,3,3/19/20,263753.0,0.7582852138174732,-1.0,No
1242,Alachua,18,5.0,3,3/20/20,263753.0,1.8957130345436828,3.0,Yes
1311,Alachua,19,13.0,3,3/21/20,263753.0,4.928853889813576,8.0,Yes
1380,Alachua,20,5.0,3,3/22/20,263753.0,1.8957130345436828,-8.0,No
1449,Alachua,21,2.0,4,3/23/20,263753.0,0.7582852138174732,-3.0,No
1518,Alachua,22,1.0,4,3/24/20,263753.0,0.3791426069087366,-1.0,No
1,Baker,0,0.0,1,3/2/20,27488.0,0.0,0.0,No
70,Baker,1,0.0,1,3/3/20,27488.0,0.0,0.0,No
139,Baker,2,0.0,1,3/4/20,27488.0,0.0,0.0,No
208,Baker,3,0.0,1,3/5/20,27488.0,0.0,0.0,No
277,Baker,4,0.0,1,3/6/20,27488.0,0.0,0.0,No
346,Baker,5,0.0,1,3/7/20,27488.0,0.0,0.0,No
415,Baker,6,0.0,1,3/8/20,27488.0,0.0,0.0,No
484,Baker,7,0.0,2,3/9/20,27488.0,0.0,0.0,No
553,Baker,8,0.0,2,3/10/20,27488.0,0.0,0.0,No
622,Baker,9,0.0,2,3/11/20,27488.0,0.0,0.0,No
691,Baker,10,0.0,2,3/12/20,27488.0,0.0,0.0,No
760,Baker,11,0.0,2,3/13/20,27488.0,0.0,0.0,No
829,Baker,12,0.0,2,3/14/20,27488.0,0.0,0.0,No
898,Baker,13,0.0,2,3/15/20,27488.0,0.0,0.0,No
967,Baker,14,0.0,3,3/16/20,27488.0,0.0,0.0,No
1036,Baker,15,0.0,3,3/17/20,27488.0,0.0,0.0,No
1105,Baker,16,0.0,3,3/18/20,27488.0,0.0,0.0,No
1174,Baker,17,0.0,3,3/19/20,27488.0,0.0,0.0,No
1243,Baker,18,1.0,3,3/20/20,27488.0,3.637951105937136,1.0,Yes
1312,Baker,19,0.0,3,3/21/20,27488.0,0.0,-1.0,No
1381,Baker,20,2.0,3,3/22/20,27488.0,7.275902211874272,2.0,Yes
1450,Baker,21,0.0,4,3/23/20,27488.0,0.0,-2.0,No
1519,Baker,22,1.0,4,3/24/20,27488.0,3.637951105937136,1.0,Yes
2,Bay,0,0.0,1,3/2/20,182218.0,0.0,0.0,No
71,Bay,1,0.0,1,3/3/20,182218.0,0.0,0.0,No
140,Bay,2,0.0,1,3/4/20,182218.0,0.0,0.0,No
209,Bay,3,0.0,1,3/5/20,182218.0,0.0,0.0,No
278,Bay,4,0.0,1,3/6/20,182218.0,0.0,0.0,No
347,Bay,5,0.0,1,3/7/20,182218.0,0.0,0.0,No
416,Bay,6,0.0,1,3/8/20,182218.0,0.0,0.0,No
485,Bay,7,0.0,2,3/9/20,182218.0,0.0,0.0,No
554,Bay,8,0.0,2,3/10/20,182218.0,0.0,0.0,No
623,Bay,9,0.0,2,3/11/20,182218.0,0.0,0.0,No
692,Bay,10,0.0,2,3/12/20,182218.0,0.0,0.0,No
761,Bay,11,0.0,2,3/13/20,182218.0,0.0,0.0,No
830,Bay,12,0.0,2,3/14/20,182218.0,0.0,0.0,No
899,Bay,13,0.0,2,3/15/20,182218.0,0.0,0.0,No
968,Bay,14,0.0,3,3/16/20,182218.0,0.0,0.0,No
1037,Bay,15,0.0,3,3/17/20,182218.0,0.0,0.0,No
1106,Bay,16,0.0,3,3/18/20,182218.0,0.0,0.0,No
1175,Bay,17,0.0,3,3/19/20,182218.0,0.0,0.0,No
1244,Bay,18,0.0,3,3/20/20,182218.0,0.0,0.0,No
1313,Bay,19,1.0,3,3/21/20,182218.0,0.5487932037449648,1.0,Yes
1382,Bay,20,0.0,3,3/22/20,182218.0,0.0,-1.0,No
1451,Bay,21,0.0,4,3/23/20,182218.0,0.0,0.0,No
1520,Bay,22,0.0,4,3/24/20,182218.0,0.0,0.0,No
3,Bradford,0,0.0,1,3/2/20,28083.0,0.0,0.0,No
72,Bradford,1,0.0,1,3/3/20,28083.0,0.0,0.0,No
141,Bradford,2,0.0,1,3/4/20,28083.0,0.0,0.0,No
210,Bradford,3,0.0,1,3/5/20,28083.0,0.0,0.0,No
279,Bradford,4,0.0,1,3/6/20,28083.0,0.0,0.0,No
348,Bradford,5,0.0,1,3/7/20,28083.0,0.0,0.0,No
417,Bradford,6,0.0,1,3/8/20,28083.0,0.0,0.0,No
486,Bradford,7,0.0,2,3/9/20,28083.0,0.0,0.0,No
555,Bradford,8,0.0,2,3/10/20,28083.0,0.0,0.0,No
624,Bradford,9,0.0,2,3/11/20,28083.0,0.0,0.0,No
693,Bradford,10,0.0,2,3/12/20,28083.0,0.0,0.0,No
762,Bradford,11,0.0,2,3/13/20,28083.0,0.0,0.0,No
831,Bradford,12,0.0,2,3/14/20,28083.0,0.0,0.0,No
900,Bradford,13,0.0,2,3/15/20,28083.0,0.0,0.0,No
969,Bradford,14,0.0,3,3/16/20,28083.0,0.0,0.0,No
1038,Bradford,15,0.0,3,3/17/20,28083.0,0.0,0.0,No
1107,Bradford,16,0.0,3,3/18/20,28083.0,0.0,0.0,No
1176,Bradford,17,0.0,3,3/19/20,28083.0,0.0,0.0,No
1245,Bradford,18,0.0,3,3/20/20,28083.0,0.0,0.0,No
1314,Bradford,19,0.0,3,3/21/20,28083.0,0.0,0.0,No
1383,Bradford,20,1.0,3,3/22/20,28083.0,3.5608731260905175,1.0,Yes
1452,Bradford,21,0.0,4,3/23/20,28083.0,0.0,-1.0,No
1521,Bradford,22,0.0,4,3/24/20,28083.0,0.0,0.0,No
4,Brevard,0,0.0,1,3/2/20,584050.0,0.0,0.0,No
73,Brevard,1,0.0,1,3/3/20,584050.0,0.0,0.0,No
142,Brevard,2,0.0,1,3/4/20,584050.0,0.0,0.0,No
211,Brevard,3,0.0,1,3/5/20,584050.0,0.0,0.0,No
280,Brevard,4,0.0,1,3/6/20,584050.0,0.0,0.0,No
349,Brevard,5,0.0,1,3/7/20,584050.0,0.0,0.0,No
418,Brevard,6,0.0,1,3/8/20,584050.0,0.0,0.0,No
