,County,Day,Cases,Week,Date,Population,Rate,Change,Double,LogChange,DoubleTime,TotalCount,TotalRate
68,Florida,0,2,1,3/2/20,2095705.0,0.09543327901589202,0.0,No,inf,0.25,0.09543327901589202,0.09543327901589202
137,Florida,1,2,1,3/3/20,2095705.0,0.09543327901589202,0.0,Yes,0.0,inf,0.19086655803178404,0.19086655803178404
206,Florida,2,4,1,3/4/20,2095705.0,0.19086655803178404,2.0,Yes,0.6931471805599454,0.125,0.3817331160635681,0.3817331160635681
275,Florida,3,1,1,3/5/20,2095705.0,0.04771663950794601,-3.0,No,-1.3862943611198908,-0.3333333333333333,0.4294497555715141,0.4294497555715141
344,Florida,4,0,1,3/6/20,2095705.0,0.0,-1.0,No,-inf,-inf,0.4294497555715141,0.4294497555715141
413,Florida,5,4,1,3/7/20,2095705.0,0.19086655803178404,4.0,Yes,inf,0.0625,0.6203163136032981,0.6203163136032981
482,Florida,6,1,1,3/8/20,2095705.0,0.04771663950794601,-3.0,No,-1.3862943611198908,-0.3333333333333333,0.6680329531112441,0.6680329531112441
551,Florida,7,5,2,3/9/20,2095705.0,0.23858319753973006,4.0,Yes,1.6094379124341005,0.05,0.9066161506509742,0.9066161506509742
620,Florida,8,3,2,3/10/20,2095705.0,0.14314991852383804,-2.0,No,-0.5108256237659907,-0.16666666666666666,1.0497660691748123,1.0497660691748123
689,Florida,9,6,2,3/11/20,2095705.0,0.2862998370476761,3.0,Yes,0.6931471805599454,0.05555555555555555,1.3360659062224884,1.3360659062224884
758,Florida,10,7,2,3/12/20,2095705.0,0.3340164765556221,1.0,Yes,0.15415067982725827,0.14285714285714285,1.6700823827781106,1.6700823827781106
827,Florida,11,24,2,3/13/20,2095705.0,1.1451993481907043,17.0,Yes,1.2321436812926323,0.0024509803921568627,2.815281730968815,2.815281730968815
896,Florida,12,45,2,3/14/20,2095705.0,2.1472487778575706,21.0,Yes,0.6286086594223741,0.0010582010582010583,4.962530508826386,4.962530508826386
965,Florida,13,33,2,3/15/20,2095705.0,1.5746491037622186,-12.0,No,-0.3101549283038395,-0.0025252525252525255,6.537179612588604,6.537179612588604
1034,Florida,14,32,3,3/16/20,2095705.0,1.5269324642542723,-1.0,No,-0.0307716586667538,-0.03125,8.064112076842877,8.064112076842877
1103,Florida,15,70,3,3/17/20,2095705.0,3.340164765556221,38.0,Yes,0.7827593392496325,0.0003759398496240601,11.404276842399097,11.404276842399097
1172,Florida,16,107,3,3/18/20,2095705.0,5.105680427350223,37.0,Yes,0.4243335924125471,0.0002525890376357666,16.50995726974932,16.50995726974932
1241,Florida,17,88,3,3/19/20,2095705.0,4.199064276699249,-19.0,No,-0.19549201998369958,-0.0005980861244019139,20.70902154644857,20.70902154644857
1310,Florida,18,150,3,3/20/20,2095705.0,7.157495926191902,62.0,Yes,0.5332984796180493,0.00010752688172043012,27.866517472640474,27.866517472640474
1379,Florida,19,217,3,3/21/20,2095705.0,10.354510773224284,67.0,Yes,0.36926205944420376,6.878052135635188e-05,38.22102824586476,38.22102824586476
1448,Florida,20,308,3,3/22/20,2095705.0,14.696724968447372,91.0,Yes,0.35020242943311475,3.5678607107178535e-05,52.91775321431213,52.91775321431213
1517,Florida,21,195,4,3/23/20,2095705.0,9.304744704049472,-113.0,No,-0.45710022440982767,-4.538234626730202e-05,62.2224979183616,62.2224979183616
1586,Florida,22,108,4,3/24/20,2095705.0,5.15339706685817,-87.0,No,-0.5908683314395269,-0.00010642826734780757,67.37589498521977,67.37589498521977
