,County,Week,Cases,Rate,Change,Double,Increase
0,Alachua,1,0.0,0.0,0.0,No,
1,Alachua,2,3.0,1.1374278207262098,3.0,Yes,100.0
2,Alachua,3,31.0,11.753420814170834,28.0,Yes,110.71428571428572
3,Alachua,4,3.0,1.1374278207262098,-28.0,No,-10.714285714285714
4,Baker,1,0.0,0.0,0.0,No,
5,Baker,2,0.0,0.0,0.0,No,
6,Baker,3,3.0,10.913853317811409,3.0,Yes,100.0
7,Baker,4,1.0,3.637951105937136,-2.0,No,-50.0
8,Bay,1,0.0,0.0,0.0,No,
9,Bay,2,0.0,0.0,0.0,No,
10,Bay,3,1.0,0.5487932037449648,1.0,Yes,100.0
11,Bay,4,0.0,0.0,-1.0,No,-0.0
12,Bradford,1,0.0,0.0,0.0,No,
13,Bradford,2,0.0,0.0,0.0,No,
14,Bradford,3,1.0,3.5608731260905175,1.0,Yes,100.0
15,Bradford,4,0.0,0.0,-1.0,No,-0.0
16,Brevard,1,0.0,0.0,0.0,No,
17,Brevard,2,0.0,0.0,0.0,No,
18,Brevard,3,7.0,1.1985275233284822,7.0,Yes,100.0
19,Brevard,4,2.0,0.3424364352367092,-5.0,No,-40.0
20,Broward,1,2.0,0.10508561850767913,0.0,No,inf
21,Broward,2,39.0,2.049169560899743,37.0,Yes,105.40540540540539
22,Broward,3,193.0,10.140762185991036,154.0,Yes,125.32467532467533
23,Broward,4,77.0,4.045796312545646,-116.0,No,-66.37931034482759
24,Calhoun,1,0.0,0.0,0.0,No,
25,Calhoun,2,0.0,0.0,0.0,No,
26,Calhoun,3,0.0,0.0,0.0,No,
27,Calhoun,4,0.0,0.0,0.0,No,
28,Charlotte,1,0.0,0.0,0.0,No,
29,Charlotte,2,1.0,0.5700831751352523,1.0,Yes,100.0
30,Charlotte,3,2.0,1.1401663502705046,1.0,Yes,200.0
31,Charlotte,4,0.0,0.0,-2.0,No,-0.0
32,Citrus,1,0.0,0.0,0.0,No,
33,Citrus,2,1.0,0.6888760298696647,1.0,Yes,100.0
34,Citrus,3,8.0,5.5110082389573165,7.0,Yes,114.28571428571428
35,Citrus,4,0.0,0.0,-8.0,No,-0.0
36,Clay,1,0.0,0.0,0.0,No,
37,Clay,2,3.0,1.4047245569264628,3.0,Yes,100.0
38,Clay,3,5.0,2.341207594877438,2.0,Yes,250.0
39,Clay,4,2.0,0.9364830379509752,-3.0,No,-66.66666666666666
40,Collier,1,0.0,0.0,0.0,No,
41,Collier,2,6.0,1.6327819065994322,6.0,Yes,100.0
42,Collier,3,28.0,7.6196488974640175,22.0,Yes,127.27272727272727
43,Collier,4,7.0,1.9049122243660044,-21.0,No,-33.33333333333333
44,Columbia,1,0.0,0.0,0.0,No,
45,Columbia,2,0.0,0.0,0.0,No,
46,Columbia,3,2.0,2.874967656613863,2.0,Yes,100.0
47,Columbia,4,1.0,1.4374838283069316,-1.0,No,-100.0
48,Dade,1,1.0,0.035661303206664385,0.0,No,inf
49,Dade,2,21.0,0.7488873673399521,20.0,Yes,105.0
50,Dade,3,240.0,8.558712769599452,219.0,Yes,109.58904109589041
51,Dade,4,76.0,2.7102590437064933,-164.0,No,-46.34146341463415
52,Desoto,1,0.0,0.0,0.0,No,
53,Desoto,2,0.0,0.0,0.0,No,
54,Desoto,3,1.0,2.7824151363383414,1.0,Yes,100.0
55,Desoto,4,0.0,0.0,-1.0,No,-0.0
56,Dixie,1,0.0,0.0,0.0,No,
57,Dixie,2,0.0,0.0,0.0,No,
58,Dixie,3,0.0,0.0,0.0,No,
59,Dixie,4,0.0,0.0,0.0,No,
60,Duval,1,0.0,0.0,0.0,No,
61,Duval,2,4.0,0.41908777164745503,4.0,Yes,100.0
62,Duval,3,36.0,3.771789944827095,32.0,Yes,112.5
63,Duval,4,10.0,1.0477194291186376,-26.0,No,-38.46153846153847
64,Escambia,1,0.0,0.0,0.0,No,
65,Escambia,2,0.0,0.0,0.0,No,
66,Escambia,3,5.0,1.5770333479471756,5.0,Yes,100.0
67,Escambia,4,5.0,1.5770333479471756,0.0,Yes,inf
68,Flagler,1,0.0,0.0,0.0,No,
69,Flagler,2,0.0,0.0,0.0,No,
70,Flagler,3,3.0,2.765461232842618,3.0,Yes,100.0
71,Flagler,4,1.0,0.9218204109475392,-2.0,No,-50.0
72,Florida,1,14.0,0.6680329531112441,0.0,No,inf
73,Florida,2,123.0,5.86914665947736,109.0,Yes,112.8440366972477
74,Florida,3,972.0,46.380573601723526,849.0,Yes,114.48763250883391
75,Florida,4,303.0,14.458141770907641,-669.0,No,-45.2914798206278
76,Franklin,1,0.0,0.0,0.0,No,
77,Franklin,2,0.0,0.0,0.0,No,
78,Franklin,3,0.0,0.0,0.0,No,
79,Franklin,4,0.0,0.0,0.0,No,
80,Gadsden,1,1.0,2.075851618126336,0.0,No,inf
81,Gadsden,2,0.0,0.0,-1.0,No,-0.0
82,Gadsden,3,0.0,0.0,0.0,No,
83,Gadsden,4,0.0,0.0,0.0,No,
84,Gilchrist,1,0.0,0.0,0.0,No,
85,Gilchrist,2,0.0,0.0,0.0,No,
86,Gilchrist,3,0.0,0.0,0.0,No,
87,Gilchrist,4,0.0,0.0,0.0,No,
88,Glades,1,0.0,0.0,0.0,No,
89,Glades,2,0.0,0.0,0.0,No,
90,Glades,3,0.0,0.0,0.0,No,
91,Glades,4,0.0,0.0,0.0,No,
92,Gulf,1,0.0,0.0,0.0,No,
93,Gulf,2,0.0,0.0,0.0,No,
94,Gulf,3,0.0,0.0,0.0,No,
95,Gulf,4,0.0,0.0,0.0,No,
96,Hamilton,1,0.0,0.0,0.0,No,
97,Hamilton,2,0.0,0.0,0.0,No,
98,Hamilton,3,0.0,0.0,0.0,No,
99,Hamilton,4,0.0,0.0,0.0,No,
100,Hardee,1,0.0,0.0,0.0,No,
101,Hardee,2,0.0,0.0,0.0,No,
102,Hardee,3,0.0,0.0,0.0,No,
103,Hardee,4,0.0,0.0,0.0,No,
104,Hendry,1,0.0,0.0,0.0,No,
105,Hendry,2,0.0,0.0,0.0,No,
106,Hendry,3,0.0,0.0,0.0,No,
107,Hendry,4,0.0,0.0,0.0,No,
108,Hernando,1,0.0,0.0,0.0,No,
109,Hernando,2,0.0,0.0,0.0,No,
110,Hernando,3,5.0,2.69656619261033,5.0,Yes,100.0
111,Hernando,4,0.0,0.0,-5.0,No,-0.0
112,Highlands,1,0.0,0.0,0.0,No,
113,Highlands,2,0.0,0.0,0.0,No,
114,Highlands,3,2.0,1.9357898506538131,2.0,Yes,100.0
115,Highlands,4,2.0,1.9357898506538131,0.0,Yes,inf
116,Hillsborough,1,2.0,0.1409160246180295,0.0,No,inf
117,Hillsborough,2,4.0,0.281832049236059,2.0,Yes,200.0
118,Hillsborough,3,59.0,4.157022726231871,55.0,Yes,107.27272727272728
119,Hillsborough,4,26.0,1.8319083200343838,-33.0,No,-78.78787878787878
120,Holmes,1,0.0,0.0,0.0,No,
121,Holmes,2,0.0,0.0,0.0,No,
122,Holmes,3,0.0,0.0,0.0,No,
123,Holmes,4,0.0,0.0,0.0,No,
124,Indian River,1,0.0,0.0,0.0,No,
125,Indian River,2,0.0,0.0,0.0,No,
126,Indian River,3,8.0,5.260423858652411,8.0,Yes,100.0
127,Indian River,4,3.0,1.972658946994654,-5.0,No,-60.0
128,Jackson,1,0.0,0.0,0.0,No,
129,Jackson,2,0.0,0.0,0.0,No,
130,Jackson,3,1.0,1.972814614610665,1.0,Yes,100.0
131,Jackson,4,0.0,0.0,-1.0,No,-0.0
132,Jefferson,1,0.0,0.0,0.0,No,
133,Jefferson,2,0.0,0.0,0.0,No,
134,Jefferson,3,0.0,0.0,0.0,No,
135,Jefferson,4,0.0,0.0,0.0,No,
136,Lafayette,1,0.0,0.0,0.0,No,
137,Lafayette,2,0.0,0.0,0.0,No,
138,Lafayette,3,0.0,0.0,0.0,No,
139,Lafayette,4,0.0,0.0,0.0,No,
140,Lake,1,0.0,0.0,0.0,No,
141,Lake,2,1.0,0.29209361016018415,1.0,Yes,100.0
142,Lake,3,7.0,2.044655271121289,6.0,Yes,116.66666666666667
143,Lake,4,6.0,1.752561660961105,-1.0,No,-600.0
144,Lee,1,2.0,0.27737212105074105,0.0,No,inf
145,Lee,2,4.0,0.5547442421014821,2.0,Yes,200.0
146,Lee,3,22.0,3.0510933315581514,18.0,Yes,122.22222222222223
147,Lee,4,4.0,0.5547442421014821,-18.0,No,-22.22222222222222
148,Leon,1,1.0,0.3445626294263377,0.0,No,inf
149,Leon,2,0.0,0.0,-1.0,No,-0.0
150,Leon,3,5.0,1.7228131471316885,5.0,Yes,100.0
151,Leon,4,2.0,0.6891252588526754,-3.0,No,-66.66666666666666
152,Levy,1,0.0,0.0,0.0,No,
153,Levy,2,0.0,0.0,0.0,No,
154,Levy,3,0.0,0.0,0.0,No,
155,Levy,4,0.0,0.0,0.0,No,
156,Liberty,1,0.0,0.0,0.0,No,
157,Liberty,2,0.0,0.0,0.0,No,
158,Liberty,3,0.0,0.0,0.0,No,
159,Liberty,4,0.0,0.0,0.0,No,
160,Madison,1,0.0,0.0,0.0,No,
161,Madison,2,0.0,0.0,0.0,No,
162,Madison,3,0.0,0.0,0.0,No,
163,Madison,4,0.0,0.0,0.0,No,
164,Manatee,1,1.0,0.2624182895051053,0.0,No,inf
165,Manatee,2,3.0,0.787254868515316,2.0,Yes,150.0
166,Manatee,3,10.0,2.6241828950510535,7.0,Yes,142.85714285714286
167,Manatee,4,2.0,0.5248365790102106,-8.0,No,-25.0
168,Marion,1,0.0,0.0,0.0,No,
169,Marion,2,0.0,0.0,0.0,No,
170,Marion,3,3.0,0.84429747414339,3.0,Yes,100.0
171,Marion,4,1.0,0.28143249138112997,-2.0,No,-50.0
172,Martin,1,0.0,0.0,0.0,No,
173,Martin,2,0.0,0.0,0.0,No,
174,Martin,3,2.0,1.2844802671718956,2.0,Yes,100.0
175,Martin,4,2.0,1.2844802671718956,0.0,Yes,inf
176,Monroe,1,0.0,0.0,0.0,No,
177,Monroe,2,0.0,0.0,0.0,No,
178,Monroe,3,2.0,2.6132176548984765,2.0,Yes,100.0
179,Monroe,4,1.0,1.3066088274492382,-1.0,No,-100.0
180,Nassau,1,0.0,0.0,0.0,No,
181,Nassau,2,1.0,1.2030075187969924,1.0,Yes,100.0
182,Nassau,3,0.0,0.0,-1.0,No,-0.0
183,Nassau,4,0.0,0.0,0.0,No,
184,Okaloosa,1,1.0,0.5040093947351179,0.0,No,inf
185,Okaloosa,2,1.0,0.5040093947351179,0.0,Yes,inf
186,Okaloosa,3,12.0,6.048112736821414,11.0,Yes,109.09090909090908
187,Okaloosa,4,0.0,0.0,-12.0,No,-0.0
188,Okeechobee,1,0.0,0.0,0.0,No,
189,Okeechobee,2,0.0,0.0,0.0,No,
190,Okeechobee,3,0.0,0.0,0.0,No,
191,Okeechobee,4,0.0,0.0,0.0,No,
192,Orange,1,0.0,0.0,0.0,No,
193,Orange,2,4.0,0.29187557052552926,4.0,Yes,100.0
194,Orange,3,34.0,2.480942349466999,30.0,Yes,113.33333333333333
195,Orange,4,12.0,0.8756267115765878,-22.0,No,-54.54545454545454
196,Osceola,1,0.0,0.0,0.0,No,
197,Osceola,2,4.0,1.109797850321564,4.0,Yes,100.0
198,Osceola,3,20.0,5.5489892516078205,16.0,Yes,125.0
199,Osceola,4,2.0,0.554898925160782,-18.0,No,-11.11111111111111
200,Palm Beach,1,1.0,0.0693346164859691,0.0,No,inf
201,Palm Beach,2,5.0,0.3466730824298455,4.0,Yes,125.0
202,Palm Beach,3,80.0,5.546769318877528,75.0,Yes,106.66666666666667
203,Palm Beach,4,15.0,1.0400192472895364,-65.0,No,-23.076923076923077
204,Pasco,1,0.0,0.0,0.0,No,
205,Pasco,2,2.0,0.3856246830647136,2.0,Yes,100.0
206,Pasco,3,11.0,2.120935756855925,9.0,Yes,122.22222222222223
207,Pasco,4,2.0,0.3856246830647136,-9.0,No,-22.22222222222222
208,Pinellas,1,0.0,0.0,0.0,No,
209,Pinellas,2,2.0,0.20596855684011278,2.0,Yes,100.0
210,Pinellas,3,37.0,3.8104183015420867,35.0,Yes,105.71428571428572
211,Pinellas,4,6.0,0.6179056705203384,-31.0,No,-19.35483870967742
212,Polk,1,0.0,0.0,0.0,No,
213,Polk,2,0.0,0.0,0.0,No,
214,Polk,3,11.0,1.6136343299236753,11.0,Yes,100.0
215,Polk,4,2.0,0.2933880599861228,-9.0,No,-22.22222222222222
216,Putnam,1,0.0,0.0,0.0,No,
217,Putnam,2,0.0,0.0,0.0,No,
218,Putnam,3,2.0,2.7239791887989977,2.0,Yes,100.0
219,Putnam,4,0.0,0.0,-2.0,No,-0.0
220,Saint Johns,1,0.0,0.0,0.0,No,
221,Saint Johns,2,0.0,0.0,0.0,No,
222,Saint Johns,3,0.0,0.0,0.0,No,
223,Saint Johns,4,0.0,0.0,0.0,No,
224,Saint Lucie,1,0.0,0.0,0.0,No,
225,Saint Lucie,2,0.0,0.0,0.0,No,
226,Saint Lucie,3,0.0,0.0,0.0,No,
227,Saint Lucie,4,0.0,0.0,0.0,No,
228,Santa Rosa,1,1.0,0.5696317900109369,0.0,No,inf
229,Santa Rosa,2,0.0,0.0,-1.0,No,-0.0
230,Santa Rosa,3,2.0,1.1392635800218738,2.0,Yes,100.0
231,Santa Rosa,4,1.0,0.5696317900109369,-1.0,No,-100.0
232,Sarasota,1,0.0,0.0,0.0,No,
233,Sarasota,2,2.0,0.4808894531325139,2.0,Yes,100.0
