,County,Week,Cases,WeekChange,WeekDouble
0,Alachua,1,0,,no
1,Alachua,2,3,3.0,yes
2,Alachua,3,32,29.0,yes
3,Baker,1,0,-32.0,no
4,Baker,2,0,0.0,no
5,Baker,3,2,2.0,yes
6,Bay,1,0,-2.0,no
7,Bay,2,0,0.0,no
8,Bay,3,1,1.0,yes
9,Bradford,1,0,-1.0,no
10,Bradford,2,0,0.0,no
11,Bradford,3,1,1.0,yes
12,Brevard,1,0,-1.0,no
13,Brevard,2,0,0.0,no
14,Brevard,3,7,7.0,yes
15,Broward,1,2,-5.0,no
16,Broward,2,39,37.0,yes
17,Broward,3,176,137.0,yes
18,Calhoun,1,0,-176.0,no
19,Calhoun,2,0,0.0,no
20,Calhoun,3,0,0.0,no
21,Charlotte,1,0,0.0,no
22,Charlotte,2,1,1.0,yes
23,Charlotte,3,1,0.0,no
24,Citrus,1,0,-1.0,no
25,Citrus,2,1,1.0,yes
26,Citrus,3,7,6.0,yes
27,Clay,1,0,-7.0,no
28,Clay,2,3,3.0,yes
29,Clay,3,4,1.0,no
30,Collier,1,0,-4.0,no
31,Collier,2,6,6.0,yes
32,Collier,3,27,21.0,yes
33,Columbia,1,0,-27.0,no
34,Columbia,2,0,0.0,no
35,Columbia,3,2,2.0,yes
36,Dade,1,1,-1.0,no
37,Dade,2,21,20.0,yes
38,Dade,3,206,185.0,yes
39,Desoto,1,0,-206.0,no
40,Desoto,2,0,0.0,no
41,Desoto,3,1,1.0,yes
42,Dixie,1,0,-1.0,no
43,Dixie,2,0,0.0,no
44,Dixie,3,0,0.0,no
45,Duval,1,0,0.0,no
46,Duval,2,4,4.0,yes
47,Duval,3,35,31.0,yes
48,Escambia,1,0,-35.0,no
49,Escambia,2,0,0.0,no
50,Escambia,3,4,4.0,yes
51,Flagler,1,0,-4.0,no
52,Flagler,2,0,0.0,no
53,Flagler,3,1,1.0,yes
54,Franklin,1,0,-1.0,no
55,Franklin,2,0,0.0,no
56,Franklin,3,0,0.0,no
57,Gadsden,1,1,1.0,yes
58,Gadsden,2,0,-1.0,no
59,Gadsden,3,0,0.0,no
60,Gilchrist,1,0,0.0,no
61,Gilchrist,2,0,0.0,no
62,Gilchrist,3,0,0.0,no
63,Glades,1,0,0.0,no
64,Glades,2,0,0.0,no
65,Glades,3,0,0.0,no
66,Gulf,1,0,0.0,no
67,Gulf,2,0,0.0,no
68,Gulf,3,0,0.0,no
69,Hamilton,1,0,0.0,no
70,Hamilton,2,0,0.0,no
71,Hamilton,3,0,0.0,no
72,Hardee,1,0,0.0,no
73,Hardee,2,0,0.0,no
74,Hardee,3,0,0.0,no
75,Hendry,1,0,0.0,no
76,Hendry,2,0,0.0,no
77,Hendry,3,0,0.0,no
78,Hernando,1,0,0.0,no
79,Hernando,2,0,0.0,no
80,Hernando,3,5,5.0,yes
81,Highlands,1,0,-5.0,no
82,Highlands,2,0,0.0,no
83,Highlands,3,1,1.0,yes
84,Hillsborough,1,2,1.0,yes
85,Hillsborough,2,4,2.0,yes
86,Hillsborough,3,52,48.0,yes
87,Holmes,1,0,-52.0,no
88,Holmes,2,0,0.0,no
89,Holmes,3,0,0.0,no
90,Indian River,1,0,0.0,no
91,Indian River,2,0,0.0,no
92,Indian River,3,8,8.0,yes
93,Jackson,1,0,-8.0,no
94,Jackson,2,0,0.0,no
95,Jackson,3,1,1.0,yes
96,Jefferson,1,0,-1.0,no
97,Jefferson,2,0,0.0,no
98,Jefferson,3,0,0.0,no
99,Lafayette,1,0,0.0,no
100,Lafayette,2,0,0.0,no
101,Lafayette,3,0,0.0,no
102,Lake,1,0,0.0,no
103,Lake,2,1,1.0,yes
104,Lake,3,5,4.0,yes
105,Lee,1,2,-3.0,no
106,Lee,2,4,2.0,yes
107,Lee,3,20,16.0,yes
108,Leon,1,1,-19.0,no
109,Leon,2,0,-1.0,no
110,Leon,3,4,4.0,yes
111,Levy,1,0,-4.0,no
112,Levy,2,0,0.0,no
113,Levy,3,0,0.0,no
114,Liberty,1,0,0.0,no
115,Liberty,2,0,0.0,no
116,Liberty,3,0,0.0,no
117,Madison,1,0,0.0,no
118,Madison,2,0,0.0,no
119,Madison,3,0,0.0,no
120,Manatee,1,1,1.0,yes
121,Manatee,2,3,2.0,yes
122,Manatee,3,9,6.0,yes
123,Marion,1,0,-9.0,no
124,Marion,2,0,0.0,no
125,Marion,3,3,3.0,yes
126,Martin,1,0,-3.0,no
127,Martin,2,0,0.0,no
128,Martin,3,2,2.0,yes
