County,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20
Alachua,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,3,2,5,13,6
Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bradford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brevard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
Broward,0,0,0,0,0,2,0,1,1,0,3,5,13,16,6,8,27,13,31,39,52
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Citrus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,3,0
Clay,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,1
Collier,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,1,5,5,9,1,5
Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Dade,0,0,1,0,0,0,0,0,0,0,1,2,10,8,7,26,24,23,23,50,53
Desoto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dixie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duval,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,4,1,4,15,5
Escambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
Flagler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
